    aerate; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 6
    aerating; Length: 8; Length score: 8; Bonus score: 7; Cumulative score: 21
    aerie; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 26
    aerier; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 32
    agar; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 33
    ager; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 34
    agger; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 39
    aggregate; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 48
    aggregating; Length: 11; Length score: 11; Bonus score: 7; Cumulative score: 66
    aginner; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 73
    agrarian; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 81
    agree; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 86
    agreeing; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 94
    agria; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 99
    aigret; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 105
    aigrette; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 113
    airer; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 118
    airier; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 124
    airing; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 130
    airn; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 131
    airt; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 132
    airting; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 139
    anear; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 144
    anearing; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 152
    anergia; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 159
    angaria; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 166
    anger; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 171
    angering; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 179
    angrier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 186
    anteater; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 194
    antiair; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 201
    antiar; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 207
    antiarin; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 215
    antra; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 220
    antre; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 225
    area; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 226
    areae; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 231
    arena; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 236
    arenite; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 243
    arete; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 248
    argent; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 254
    argentine; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 270
